Frame,Area,Perimeter,Aspect_Ratio,Time,Division_Speed
4,298.5,79.35533809661865,0.5161290322580645,0.4,2985.0
4,14.5,17.071067690849304,1.0,0.4,2840.0
4,156594.5,2644.246814608574,1.3111111111111111,0.4,1565800.0
4,0.0,0.0,1.0,0.4,1565945.0
4,0.0,2.0,0.5,0.4,0.0
4,166.5,62.041630029678345,1.9230769230769231,0.4,1665.0
4,3.0,6.828427076339722,1.0,0.4,1635.0
4,30.5,25.899494767189022,1.4285714285714286,0.4,275.0
4,0.5,3.414213538169861,1.0,0.4,300.0
5,0.0,0.0,1.0,0.5,5.0
5,0.0,0.0,1.0,0.5,0.0
5,103.5,48.87005722522736,1.6363636363636365,0.5,1035.0
5,1.0,4.0,1.0,0.5,1025.0
5,0.0,0.0,1.0,0.5,10.0
5,290.5,84.52691138,0.46875,0.5,2905.0
5,0.0,8.0,0.2,0.5,2905.0
5,221.0,120.08326017856598,0.4411764705882353,0.5,2210.0
5,0.0,0.0,1.0,0.5,2210.0
5,0.0,2.0,0.5,0.5,0.0
5,0.0,0.0,1.0,0.5,0.0
5,16.5,19.071067690849304,0.8571428571428571,0.5,165.0
5,0.0,0.0,1.0,0.5,165.0
5,0.0,5.656854152679443,0.6666666666666666,0.5,0.0
5,0.0,2.0,0.5,0.5,0.0
5,0.0,2.0,0.5,0.5,0.0
5,156431.5,2588.1046797037125,1.3111111111111111,0.5,1564315.0
5,80.0,65.59797883033752,1.1428571428571428,0.5,1563515.0
5,37.5,27.55634880065918,1.25,0.5,425.0
5,0.0,0.0,1.0,0.5,375.0
5,0.0,0.0,1.0,0.5,0.0
5,0.0,0.0,1.0,0.5,0.0
5,1.0,4.0,1.0,0.5,10.0
5,137.5,55.21320307254791,2.0,0.5,1365.0
5,0.0,0.0,1.0,0.5,1375.0
5,4.5,11.071067690849304,1.25,0.5,45.0
5,80.0,49.455843687057495,0.9333333333333332,0.5,755.0
6,0.0,0.0,1.0,0.6000000000000001,800.0
6,0.0,0.0,1.0,0.6000000000000001,0.0
6,0.0,0.0,1.0,0.6000000000000001,0.0
6,122.0,48.97056233882904,1.3076923076923077,0.6000000000000001,1220.0
6,0.0,6.0,0.25,0.6000000000000001,1220.0
6,167114.5,1979.806129574776,1.3111111111111111,0.6000000000000001,1671145.0
6,0.0,2.0,0.5,0.6000000000000001,1671145.0
6,0.0,0.0,1.0,0.6000000000000001,0.0
7,0.0,6.828427076339722,1.0,0.7000000000000001,0.0
7,0.0,0.0,1.0,0.7000000000000001,0.0
7,0.0,0.0,1.0,0.7000000000000001,0.0
7,0.0,2.0,0.5,0.7000000000000001,0.0
7,0.0,0.0,1.0,0.7000000000000001,0.0
7,0.0,0.0,1.0,0.7000000000000001,0.0
7,0.0,0.0,1.0,0.7000000000000001,0.0
7,0.0,6.0,0.25,0.7000000000000001,0.0
7,132.0,48.28427064418793,1.3846153846153846,0.7000000000000001,1320.0
7,167068.0,1993.019332289696,1.3111111111111111,0.7000000000000001,1669360.0
7,2.0,8.828427076339722,1.3333333333333333,0.7000000000000001,1670660.0
8,0.0,0.0,1.0,0.8,20.0
8,0.0,0.0,1.0,0.8,0.0
8,0.0,0.0,1.0,0.8,0.0
8,0.0,0.0,1.0,0.8,0.0
8,0.0,0.0,1.0,0.8,0.0
8,0.0,0.0,1.0,0.8,0.0
8,136.5,54.87005710601807,1.3333333333333333,0.8,1365.0
8,0.0,0.0,1.0,0.8,1365.0
8,0.0,6.0,0.25,0.8,0.0
8,0.0,0.0,1.0,0.8,0.0
8,167169.5,1954.0071400403976,1.3111111111111111,0.8,1671695.0
9,133.5,55.21320295333862,1.5384615384615383,0.9,1670360.0
9,0.0,0.0,1.0,0.9,1335.0
9,33.0,27.313708305358887,1.8333333333333333,0.9,330.0
9,0.0,4.828427076339722,1.5,0.9,330.0
9,0.0,0.0,1.0,0.9,0.0
9,0.0,0.0,1.0,0.9,0.0
9,0.0,0.0,1.0,0.9,0.0
9,0.0,6.0,0.25,0.9,0.0
9,0.0,2.0,0.5,0.9,0.0
9,0.0,2.0,0.5,0.9,0.0
9,0.0,0.0,1.0,0.9,0.0
9,0.0,0.0,1.0,0.9,0.0
9,0.0,2.0,0.5,0.9,0.0
9,0.0,0.0,1.0,0.9,0.0
9,0.0,0.0,1.0,0.9,0.0
9,165919.5,2116.031525015831,1.3111111111111111,0.9,1659195.0
9,0.0,0.0,1.0,0.9,1659195.0
10,0.0,0.0,1.0,1.0,0.0
10,58.5,54.041630148887634,0.6111111111111112,1.0,585.0
10,280.0,75.11269772052765,0.4375,1.0,2215.0
10,0.0,0.0,1.0,1.0,2800.0
10,86.0,52.62741661071777,1.7272727272727273,1.0,860.0
10,0.0,0.0,1.0,1.0,860.0
10,142.0,56.28427076339722,1.6923076923076923,1.0,1420.0
10,217.5,84.66904664039612,0.6206896551724138,1.0,755.0
10,0.0,0.0,1.0,1.0,2175.0
10,0.0,2.0,0.5,1.0,0.0
10,36.5,44.38477599620819,0.4666666666666667,1.0,365.0
10,1.0,11.656854152679443,0.8,1.0,355.0
10,1.0,4.0,1.0,1.0,0.0
10,0.0,0.0,1.0,1.0,10.0
10,97.0,39.79898953437805,0.9230769230769232,1.0,970.0
10,12.5,17.071067690849304,0.8333333333333334,1.0,845.0
10,0.0,0.0,1.0,1.0,125.0
10,136.5,56.041630029678345,1.6153846153846154,1.0,1365.0
10,0.0,0.0,1.0,1.0,1365.0
10,0.0,2.0,0.5,1.0,0.0
10,0.0,6.0,0.25,1.0,0.0
10,0.0,0.0,1.0,1.0,0.0
10,0.0,0.0,1.0,1.0,0.0
10,0.0,0.0,1.0,1.0,0.0
10,0.0,0.0,1.0,1.0,0.0
10,0.0,0.0,1.0,1.0,0.0
10,156230.5,2643.903669714928,1.3111111111111111,1.0,1562305.0
10,0.0,4.0,0.3333333333333333,1.0,1562305.0
10,0.0,2.0,0.5,1.0,0.0
10,0.0,0.0,1.0,1.0,0.0
11,0.0,0.0,1.0,1.1,0.0
11,0.0,0.0,1.0,1.1,0.0
11,155431.5,2703.3006386756897,1.3111111111111111,1.1,1554315.0
11,246.5,115.35533833503725,1.4,1.1,1551850.0
11,0.0,0.0,1.0,1.1,2465.0
11,0.0,0.0,1.0,1.1,0.0
11,8.5,14.242640614509584,0.6666666666666666,1.1,85.0
11,9.0,16.485281229019165,0.6666666666666666,1.1,5.0
11,0.0,0.0,1.0,1.1,90.0
11,106.5,45.55634891986847,0.6875,1.1,1065.0
11,0.0,0.0,1.0,1.1,1065.0
11,267.0,79.11269760131836,0.4375,1.1,2670.0
11,0.0,0.0,1.0,1.1,2670.0
11,0.0,2.0,0.5,1.1,0.0
11,0.0,0.0,1.0,1.1,0.0
11,0.0,0.0,1.0,1.1,0.0
11,0.0,4.0,0.3333333333333333,1.1,0.0
11,129.0,75.59797907,1.0526315789473684,1.1,1290.0
11,0.0,0.0,1.0,1.1,1290.0
11,3.5,9.414213538,0.4,1.1,35.0
11,0.0,0.0,1.0,1.1,35.0
11,0.0,0.0,1.0,1.1,0.0
11,99.0,53.455843567848206,1.3846153846153846,1.1,990.0
11,0.5,3.414213538169861,1.0,1.1,985.0
11,183.0,61.11269772052765,0.8947368421052632,1.1,1825.0
11,0.0,0.0,1.0,1.1,1830.0
11,0.0,6.828427076339722,1.0,1.1,0.0
11,0.0,2.0,2.0,1.1,0.0
11,0.0,0.0,1.0,1.1,0.0
11,0.0,4.828427076339722,0.6666666666666666,1.1,0.0
11,110.5,55.21320295333862,2.0,1.1,1105.0
11,0.0,0.0,1.0,1.1,1105.0
12,0.0,0.0,1.0,1.2000000000000002,0.0
12,1.0,24.97056245803833,2.5,1.2000000000000002,10.0
12,178.0,75.94112467765808,0.9,1.2000000000000002,1770.0
12,0.0,0.0,1.0,1.2000000000000002,1780.0
12,0.0,0.0,1.0,1.2000000000000002,0.0
12,0.5,3.414213538169861,1.0,1.2000000000000002,5.0
12,0.0,0.0,1.0,1.2000000000000002,5.0
12,58.0,43.79898953437805,1.181818181818182,1.2000000000000002,580.0
12,0.0,0.0,1.0,1.2000000000000002,580.0
12,0.0,0.0,1.0,1.2000000000000002,0.0
12,0.0,2.0,0.5,1.2000000000000002,0.0
12,0.0,0.0,1.0,1.2000000000000002,0.0
12,0.0,0.0,1.0,1.2000000000000002,0.0
12,0.0,0.0,1.0,1.2000000000000002,0.0
12,0.0,0.0,1.0,1.2000000000000002,0.0
12,267.0,106.76955187320708,1.3,1.2000000000000002,2670.0
12,0.0,2.8284270763397217,1.0,1.2000000000000002,2670.0
12,164867.0,2112.759447455406,1.3111111111111111,1.2000000000000002,1648670.0
